fdc_id,data_type,description,Protein (g),Total Fat (g),Carbohydrate (g),Energy (kcal),Fiber (g),Calcium (mg),Magnesium (mg),Potassium (mg),Sodium (mg),Sugars (g)
2685582,foundation_food,"Tomato, puree, canned",1.578125,0.265,8.036875,0.0,1.971,17.64,19.33,416.4,29.36,0.0
2710815,foundation_food,"Apricot, with skin, raw",0.96125,0.405,10.23875,0.0,1.51,11.59,8.883,231.4,0.0,0.0
2710816,foundation_food,"Melons, honeydew, raw",0.53125,0.2163,8.14995,0.0,0.0,6.579,9.504,208.9,21.15,0.0
2710817,foundation_food,"Plantains, ripe, raw",1.15625,0.8933,30.95215,0.0,2.125,3.825,33.93,395.6,0.0,0.0
2710818,foundation_food,"Plantains, underripe, raw",1.229375,0.685,33.587325,0.0,2.53,4.832,29.47,406.3,0.0,0.0
2710819,foundation_food,"Chia seeds, dry, raw",17.013,32.89,38.273,0.0,0.0,595.4,326.3,642.1,0.0,0.0
2710820,foundation_food,"Bulgur, dry, raw",11.75625,2.421,75.88175,0.0,11.72,34.11,118.9,358.3,2.18,0.0
2710821,foundation_food,"Wild rice, dry, raw",12.7875,1.704,75.6695,0.0,4.26,7.973,108.5,298.8,1.014,0.0
2710822,foundation_food,"Arugula, baby, raw",1.64875,0.325,5.36825,0.0,2.28,203.7,42.65,406.8,86.93,0.0
2710823,foundation_food,"Asparagus, green, raw",1.4375,0.2163,5.1012,0.0,1.883,20.58,13.78,277.5,2.46,0.0
2710824,foundation_food,"Avocado, Hass, peeled, raw",1.8125,20.31,8.3235,0.0,0.0,14.46,32.8,576.4,0.0,0.0
2710825,foundation_food,"Rice, black, unenriched, raw",7.56875,3.438,77.18825,0.0,4.179,14.4,113.4,255.6,0.0,0.0
2710826,foundation_food,"Corn, sweet, yellow and white kernels,  fresh, raw",2.789375,1.626,14.689625,0.0,2.428,0.6563,25.76,237.0,0.0,0.0
2710827,foundation_food,"Einkorn, grain, dry, raw",15.11719,3.811,68.65381,0.0,8.913,41.41,140.4,431.8,0.0,0.0
2710828,foundation_food,"Farro, pearled, dry, raw",12.63944,3.103,72.13156,0.0,7.31,25.94,118.8,385.4,0.845,0.0
2710829,foundation_food,"Fonio, grain, dry, raw",7.16875,1.693,81.30525,0.0,2.197,11.65,39.1,43.79,2.967,0.0
2710830,foundation_food,"Khorasan, grain, dry, raw",14.75573,2.8,71.79427,0.0,10.52,24.08,130.1,450.5,3.936,0.0
2710831,foundation_food,"Kiwifruit (kiwi), green, peeled, raw",1.008125,0.64,13.818075,0.0,2.129,24.38,14.79,301.5,2.275,0.0
2710832,foundation_food,"Mandarin, seedless, peeled, raw",1.039375,0.4575,13.421825,0.0,1.328,43.96,12.59,167.2,0.0,0.0
2710833,foundation_food,"Mango, Tommy Atkins, peeled, raw",0.5625,0.5725,15.265,0.0,1.753,12.4,10.26,165.0,0.0,0.0
2710834,foundation_food,"Mango, Ataulfo, peeled, raw",0.6875,0.6813,17.3962,0.0,1.289,10.02,10.57,204.4,0.0,0.0
2710835,foundation_food,"Corn flour, masa harina, white or yellow, dry, raw",7.5625,4.34,76.6895,0.0,7.038,111.6,93.3,276.6,2.733,0.0
2710836,foundation_food,"Pear, Anjou, green, with skin, raw",0.3125,0.3713,14.7674,0.0,2.636,9.986,6.494,122.5,0.3975,0.0
2710837,foundation_food,"Plum, black, with skin, raw",0.578125,0.2825,13.455575,0.0,1.346,4.031,6.615,186.3,0.0,0.0
2710838,foundation_food,"Rice, red, unenriched, dry, raw",8.5625,3.44,76.1545,0.0,4.198,9.224,125.5,245.1,0.4375,0.0
2710839,foundation_food,"Sorghum bran, white, unenriched, dry, raw",11.16875,9.259,68.69525,0.0,34.95,61.66,273.5,851.5,2.915,0.0
2710840,foundation_food,"Sorghum flour, white, pearled, unenriched, dry, raw",10.2125,3.238,73.5065,0.0,3.299,7.894,107.0,273.9,0.0,0.0
2710841,foundation_food,"Sorghum grain, white, pearled, unenriched, dry, raw",10.25,3.265,74.872,0.0,3.916,7.45,108.9,273.9,0.0,0.0
2710842,foundation_food,"Sorghum, whole grain, white, dry, raw",10.08125,4.219,73.57375,0.0,8.274,14.93,136.0,367.1,0.3288,0.0
2710843,foundation_food,"Plantains, overripe, raw",1.166875,0.99,29.191425,0.0,1.792,3.9,31.73,408.2,0.0,0.0
2727566,foundation_food,"Chicken, drumstick, meat and skin, raw",18.35625,5.94,-0.47505,0.0,0.0,8.285,18.55,244.1,90.98,0.0
2727567,foundation_food,"Chicken, thigh, meat and skin, raw",17.10625,13.35,-0.17255,0.0,0.0,5.726,18.51,246.0,63.55,0.0
2727568,foundation_food,"Chicken, wing, meat and skin, raw",18.40625,10.64,-0.45875,0.0,0.0,13.55,16.53,194.0,84.14,0.0
2727569,foundation_food,"Chicken, breast, meat and skin, raw",21.40625,4.777,-0.42825,0.0,0.0,6.898,25.4,332.5,48.07,0.0
2727570,foundation_food,"Lamb, ground, raw",17.4625,18.64,-0.2508,0.0,0.0,6.575,17.48,272.1,53.45,0.0
2727571,foundation_food,"Bison, ground, raw",19.88125,8.88,-0.14955,0.0,0.0,6.827,18.47,301.1,55.7,0.0
2727572,foundation_food,"Beef, short loin (NY strip steak), raw",21.325,11.54,0.2212,0.0,0.0,5.043,19.5,323.0,43.09,0.0
2727573,foundation_food,"Beef, tenderloin steak, raw",21.09375,6.456,0.18025,0.0,0.0,4.089,21.98,344.7,44.85,0.0
2727574,foundation_food,"Beef, top sirloin steak, raw",21.975,5.708,0.218,0.0,0.0,3.701,22.08,349.4,42.85,0.0
2727575,foundation_food,"Pork, chop, center cut, raw",22.8125,5.475,-0.5625,0.0,0.0,4.124,23.44,366.5,39.3,0.0
2727576,foundation_food,"Pork, belly, with skin, raw",15.2,35.83,-0.705,0.0,0.0,4.205,12.18,207.9,49.7,0.0
2727577,foundation_food,"Pawpaw, peeled, seeded, raw",1.151875,0.0,0.0,0.0,3.3,9.91,10.61,220.9,0.3514,0.0
2727578,foundation_food,"Squash, pie pumpkin, peeled, seeded, raw",0.854375,0.0,0.0,0.0,2.3,16.36,12.8,472.1,0.3125,0.0
2727579,foundation_food,"Squash, spaghetti, peeled, seeded, raw",0.791875,0.0,0.0,0.0,1.4,16.55,13.34,266.9,0.3125,0.0
2727580,foundation_food,"Rutabaga, peeled, raw",0.8875,0.0,0.0,0.0,2.9,42.0,15.44,266.6,4.591,0.0
2727581,foundation_food,"Blackberries, raw",1.52625,0.0,0.0,0.0,5.3,15.45,20.58,167.4,1.548,0.0
2727582,foundation_food,"Tomatillos, dehusked, raw",1.064375,0.0,0.0,0.0,1.7,7.141,13.51,239.1,0.3113,0.0
2727583,foundation_food,"Cabbage, napa, leaf, destemmed, raw",1.06375,0.0,0.0,0.0,1.2,35.05,11.26,234.6,12.65,0.0
2727584,foundation_food,"Leeks, bulb and greens, root removed, raw",1.4675,0.0,0.0,0.0,3.0,51.41,15.68,319.0,17.66,0.0
2727585,foundation_food,"Green onion, (scallion), bulb and greens, root removed, raw",0.66875,0.0,0.0,0.0,2.3,59.44,18.94,232.0,9.948,0.0
2727586,foundation_food,"Shallots, bulb, peeled, root removed, raw",1.3775,0.0,0.0,0.0,2.2,26.06,15.1,251.5,3.636,0.0
2727587,foundation_food,"Juice, prune, shelf-stable",0.422625,0.0,0.0,0.0,0.0,16.23,15.21,215.6,10.29,0.0
2727588,foundation_food,"Juice, pomegranate, from concentrate, shelf-stable",0.0,0.0,0.0,0.0,0.0,11.03,6.863,165.6,4.038,0.0
2727589,foundation_food,"Juice, tart cherry, from concentrate, shelf-stable",0.1465625,0.0,0.0,0.0,0.0,16.2,12.12,169.8,1.363,0.0
2747652,foundation_food,"Anchovies, canned in olive oil, with salt, drained",26.9375,9.853,2.4095,0.0,0.0,239.8,227.6,297.8,5403.0,0.0
2747653,foundation_food,"Beet greens, raw",1.609375,0.1438,4.658825,0.0,2.578,72.8,74.36,368.7,280.5,0.0
2747654,foundation_food,"Cod, Pacific or Alaskan, frozen, wild caught",14.2,0.216,0.524,0.0,0.0,9.013,17.88,192.3,353.9,0.0
2747655,foundation_food,"Fennel, bulb, raw",0.921875,0.14,5.486225,0.0,2.046,41.3,14.98,332.4,49.03,0.0
2747656,foundation_food,"Halibut, frozen, wild caught",19.0625,0.5917,-0.0602,0.0,0.0,4.103,23.06,430.2,108.3,0.0
2747657,foundation_food,"Lobster, tail only, frozen, wild caught",12.99375,0.3667,0.88555,0.0,0.0,71.64,39.04,212.6,508.8,0.0
2747658,foundation_food,"Mahi mahi, frozen, wild caught",19.79375,0.3767,0.28655,0.0,0.0,6.003,28.02,407.9,51.93,0.0
2747659,foundation_food,"Parsnips, raw",1.265625,0.5381,19.292275,0.0,5.351,44.16,22.0,492.6,0.4913,0.0
2747660,foundation_food,"Peppers, banana or Hungarian wax, seeded, raw",0.723125,0.1314,4.966175,0.0,1.79,9.816,10.19,177.4,0.0,0.0
2747661,foundation_food,"Peppers, jalapeno, seeded, raw",0.621125,0.1488,5.075675,0.0,1.725,10.1,8.946,166.9,0.0,0.0
2747662,foundation_food,"Peppers, poblano, seeded, raw",1.425625,0.1906,5.143175,0.0,2.07,8.366,10.73,191.6,0.0,0.0
2747663,foundation_food,"Peppers, serrano, seeded, raw",0.855625,0.1406,6.136275,0.0,2.521,12.86,12.68,224.5,0.0,0.0
2747664,foundation_food,"Radicchio, raw",1.30875,0.1431,4.96125,0.0,2.114,30.91,12.95,334.6,8.076,0.0
2747665,foundation_food,"Radishes, red, raw",0.65625,0.08313,4.05682,0.0,1.314,21.51,8.944,197.8,51.16,0.0
2747666,foundation_food,"Scallops, bay, Patagonian, frozen, wild caught",16.3875,0.4192,2.2833,0.0,0.0,14.03,46.44,292.0,252.4,0.0
2747667,foundation_food,"Scallops, sea, frozen, wild caught",13.5125,0.4933,1.9662,0.0,0.0,10.54,30.63,244.9,313.0,0.0
2747668,foundation_food,"Sea bass, Chilean, frozen, wild caught",14.925,16.57,0.1392,0.0,0.0,6.822,16.64,236.4,109.4,0.0
2747669,foundation_food,"Snapper, frozen, wild caught",20.6625,0.5692,0.4413,0.0,0.0,13.91,27.46,348.8,93.06,0.0
2747670,foundation_food,"Snow crab, legs only, frozen  ",15.5375,0.2942,1.1063,0.0,0.0,97.8,58.37,192.9,728.5,0.0
2747671,foundation_food,"Squid (calamari), frozen, tubes only",8.80625,0.5508,0.93215,0.0,0.0,10.56,10.52,9.483,271.9,0.0
2747672,foundation_food,"Swordfish, frozen, wild caught",19.2375,8.123,0.4495,0.0,0.0,3.623,26.68,414.1,56.87,0.0
2747673,foundation_food,"Tuna, ahi or yellowfin, frozen, wild caught",24.7,0.3875,-0.1045,0.0,0.0,3.193,35.48,420.2,94.37,0.0
2747674,foundation_food,"Turnips, raw",0.953125,0.1188,7.274975,0.0,1.915,32.7,10.39,262.1,12.8,0.0
2747675,foundation_food,"Watermelon, seedless, flesh only, raw",0.87125,0.0,0.0,0.0,0.0,7.861,11.45,117.3,0.0,0.0
2747676,foundation_food,"Watermelon, seedless, rind only, raw",0.53125,0.9657,3.27075,0.0,1.535,16.93,9.673,272.5,3.763,0.0
